seed,arm,representation,matched_reference_for,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,feature_dim,fold,n_train,n_validation,n_test,feature_valid_total,target_valid_total,joint_valid_total
2026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,247,59,69,375,375,375
2026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,239,69,67,375,375,375
2026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,240,52,83,375,375,375
2026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,242,61,72,375,375,375
2026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,225,66,84,375,375,375
2026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,247,59,69,375,375,375
2026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,239,69,67,375,375,375
2026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,240,52,83,375,375,375
2026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,242,61,72,375,375,375
2026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,225,66,84,375,375,375
2026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,0,247,59,69,375,375,375
2026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,1,239,69,67,375,375,375
2026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,2,240,52,83,375,375,375
2026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,3,242,61,72,375,375,375
2026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,4,225,66,84,375,375,375
2026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL3,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL3,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL3,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL3,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL3,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL3,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL3,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL3,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL3,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL3,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL3,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL3,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL3,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL3,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL3,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
2026,LOCAL3,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
2026,LOCAL3,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
2026,LOCAL3,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
2026,LOCAL3,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
2026,LOCAL3,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,247,59,69,375,375,375
3026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,239,69,67,375,375,375
3026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,240,52,83,375,375,375
3026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,242,61,72,375,375,375
3026,LOCAL0,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,225,66,84,375,375,375
3026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,247,59,69,375,375,375
3026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,239,69,67,375,375,375
3026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,240,52,83,375,375,375
3026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,242,61,72,375,375,375
3026,LOCAL0,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,225,66,84,375,375,375
3026,LOCAL0,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,0,247,59,69,375,375,375
3026,LOCAL0,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,1,239,69,67,375,375,375
3026,LOCAL0,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,2,240,52,83,375,375,375
3026,LOCAL0,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,3,242,61,72,375,375,375
3026,LOCAL0,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,4,225,66,84,375,375,375
3026,LOCAL0,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL0,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL0,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL0,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL0,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL0,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL0,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL0,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL0,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL0,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL0,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL0,Z4_MATCHED_Z7,Z7,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL0,Z5,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL0,Z6,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL0,Z7,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,247,59,69,375,375,375
3026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,239,69,67,375,375,375
3026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,240,52,83,375,375,375
3026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,242,61,72,375,375,375
3026,LOCAL3,Z1,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,225,66,84,375,375,375
3026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,0,247,59,69,375,375,375
3026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,1,239,69,67,375,375,375
3026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,2,240,52,83,375,375,375
3026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,3,242,61,72,375,375,375
3026,LOCAL3,Z2,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,192,4,225,66,84,375,375,375
3026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,0,247,59,69,375,375,375
3026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,1,239,69,67,375,375,375
3026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,2,240,52,83,375,375,375
3026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,3,242,61,72,375,375,375
3026,LOCAL3,Z3,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,128,4,225,66,84,375,375,375
3026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL3,Z4,,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
3026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,3,242,61,72,375,375,375
3026,LOCAL3,Z4_MATCHED_Z5,Z5,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,4,225,66,84,375,375,375
3026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,0,247,59,69,375,375,375
3026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,1,239,69,67,375,375,375
3026,LOCAL3,Z4_MATCHED_Z6,Z6,dynamic,adjacent_percent_change_new_extension,raw,BPE,,T0->T1,difference,natural_target,256,2,240,52,83,375,375,375
